model_id_list,dev_alphabetical_id,dev_numerical_id
D01_Samsung_GalaxyS3Mini,D01_V_outdoorWA_move_0004,0
D01_Samsung_GalaxyS3Mini,D01_V_outdoorWA_move_0002,0
D01_Samsung_GalaxyS3Mini,D01_V_flatWA_move_0001,0
D01_Samsung_GalaxyS3Mini,D01_V_outdoorWA_panrot_0001,0
D02_Apple_iPhone4s,D02_V_flatWA_move_0001,1
D02_Apple_iPhone4s,D02_V_outdoorWA_panrot_0001,1
D02_Apple_iPhone4s,D02_V_outdoorWA_still_0002,1
D03_Huawei_P9,D03_V_flatWA_still_0001,2
D03_Huawei_P9,D03_V_outdoorWA_panrot_0001,2
D03_Huawei_P9,D03_V_indoorWA_panrot_0001,2
D04_LG_D290,D04_V_indoorWA_move_0002,3
D04_LG_D290,D04_V_outdoorWA_move_0001,3
D04_LG_D290,D04_V_outdoorWA_move_0002,3
D04_LG_D290,D04_V_outdoorWA_panrot_0001,3
D05_Apple_iPhone5c,D05_V_flatWA_move_0002,4
D05_Apple_iPhone5c,D05_V_indoorWA_still_0002,4
D05_Apple_iPhone5c,D05_V_outdoorWA_panrot_0001,4
D05_Apple_iPhone5c,D05_V_flatWA_move_0003,4
D06_Apple_iPhone6,D06_V_flatWA_still_0001,5
D06_Apple_iPhone6,D06_V_flatWA_panrot_0001,5
D06_Apple_iPhone6,D06_V_indoorWA_move_0001,5
D07_Lenovo_P70A,D07_V_outdoorWA_panrot_0001,6
D07_Lenovo_P70A,D07_V_outdoorWA_move_0001,6
D07_Lenovo_P70A,D07_V_indoorWA_still_0001,6
D07_Lenovo_P70A,D07_V_flatWA_still_0002,6
D08_Samsung_GalaxyTab3,D08_V_flatWA_still_0002,7
D08_Samsung_GalaxyTab3,D08_V_outdoorWA_still_0003,7
D08_Samsung_GalaxyTab3,D08_V_indoorWA_still_0002,7
D08_Samsung_GalaxyTab3,D08_V_outdoorWA_panrot_0002,7
D08_Samsung_GalaxyTab3,D08_V_outdoorWA_move_0001,7
D08_Samsung_GalaxyTab3,D08_V_outdoorWA_move_0002,7
D08_Samsung_GalaxyTab3,D08_V_flatWA_move_0001,7
D09_Apple_iPhone4,D09_V_indoorWA_still_0002,8
D09_Apple_iPhone4,D09_V_outdoorWA_panrot_0002,8
D09_Apple_iPhone4,D09_V_flatWA_panrot_0001,8
D09_Apple_iPhone4,D09_V_flatWA_still_0001,8
D10_Apple_iPhone4s,D10_V_flatWA_panrot_0001,9
D10_Apple_iPhone4s,D10_V_indoorWA_move_0001,9
D10_Apple_iPhone4s,D10_V_indoorWA_panrot_0002,9
D11_Samsung_GalaxyS3,D11_V_outdoorWA_still_0002,10
D11_Samsung_GalaxyS3,D11_V_outdoorWA_still_0001,10
D11_Samsung_GalaxyS3,D11_V_flatWA_still_0001,10
D11_Samsung_GalaxyS3,D11_V_outdoorWA_panrot_0002,10
D13_Apple_iPad2,D13_V_indoorWA_panrot_0002,11
D13_Apple_iPad2,D13_V_flatWA_panrot_0001,11
D13_Apple_iPad2,D13_V_outdoorWA_move_0001,11
D14_Apple_iPhone5c,D14_V_flatWA_move_0001,12
D14_Apple_iPhone5c,D14_V_indoorWA_still_0001,12
D14_Apple_iPhone5c,D14_V_flatWA_panrot_0002,12
D14_Apple_iPhone5c,D14_V_indoorWA_panrot_0001,12
D15_Apple_iPhone6,D15_V_flatWA_still_0001,13
D15_Apple_iPhone6,D15_V_indoorWA_still_0002,13
D15_Apple_iPhone6,D15_V_outdoorWA_panrot_0002,13
D16_Huawei_P9Lite,D16_V_outdoorWA_panrot_0001,14
D16_Huawei_P9Lite,D16_V_outdoorWA_still_0002,14
D16_Huawei_P9Lite,D16_V_flatWA_move_0002,14
D16_Huawei_P9Lite,D16_V_flatWA_move_0001,14
D17_Microsoft_Lumia640LTE,D17_V_outdoorWA_panrot_0001,15
D17_Microsoft_Lumia640LTE,D17_V_outdoorWA_still_0001,15
D18_Apple_iPhone5c,D18_V_flatWA_still_0002,16
D18_Apple_iPhone5c,D18_V_flatWA_panrot_0001,16
D18_Apple_iPhone5c,D18_V_outdoorWA_still_0001,16
D19_Apple_iPhone6Plus,D19_V_flatWA_still_0002,17
D19_Apple_iPhone6Plus,D19_V_flatWA_still_0001,17
D19_Apple_iPhone6Plus,D19_V_outdoorWA_still_0002,17
D19_Apple_iPhone6Plus,D19_V_outdoorWA_panrot_0001,17
D20_Apple_iPadMini,D20_V_indoorWA_panrot_0001,18
D20_Apple_iPadMini,D20_V_outdoorWA_move_0002,18
D20_Apple_iPadMini,D20_V_outdoorWA_still_0001,18
D21_Wiko_Ridge4G,D21_V_indoorWA_move_0001,19
D21_Wiko_Ridge4G,D21_V_flatWA_move_0002,19
D22_Samsung_GalaxyTrendPlus,D22_V_flatWA_panrot_0001,20
D22_Samsung_GalaxyTrendPlus,D22_V_outdoorWA_panrot_0001,20
D22_Samsung_GalaxyTrendPlus,D22_V_indoorWA_move_0002,20
D23_Asus_Zenfone2Laser,D23_V_flatWA_move_0003,21
D23_Asus_Zenfone2Laser,D23_V_flatWA_panrot_0002,21
D23_Asus_Zenfone2Laser,D23_V_indoorWA_still_0002,21
D23_Asus_Zenfone2Laser,D23_V_outdoorWA_still_0001,21
D24_Xiaomi_RedmiNote3,D24_V_indoorWA_still_0001,22
D24_Xiaomi_RedmiNote3,D24_V_outdoorWA_still_0001,22
D24_Xiaomi_RedmiNote3,D24_V_outdoorWA_move_0002,22
D25_OnePlus_A3000,D25_V_flatWA_panrot_0001,23
D25_OnePlus_A3000,D25_V_indoorWA_move_0002,23
D25_OnePlus_A3000,D25_V_flatWA_still_0001,23
D25_OnePlus_A3000,D25_V_outdoorWA_move_0001,23
D26_Samsung_GalaxyS3Mini,D26_V_indoorWA_still_0002,24
D26_Samsung_GalaxyS3Mini,D26_V_outdoorWA_panrot_0001,24
D26_Samsung_GalaxyS3Mini,D26_V_outdoorWA_still_0001,24
D27_Samsung_GalaxyS5,D27_V_indoorWA_still_0001,25
D27_Samsung_GalaxyS5,D27_V_flatWA_move_0002,25
D27_Samsung_GalaxyS5,D27_V_flatWA_still_0001,25
D27_Samsung_GalaxyS5,D27_V_outdoorWA_move_0002,25
D28_Huawei_P8,D28_V_indoorWA_panrot_0002,26
D28_Huawei_P8,D28_V_flatWA_move_0003,26
D28_Huawei_P8,D28_V_flatWA_move_0001,26
D28_Huawei_P8,D28_V_flatWA_still_0001,26
D29_Apple_iPhone5,D29_V_outdoorWA_move_0001,27
D29_Apple_iPhone5,D29_V_indoorWA_panrot_0002,27
D29_Apple_iPhone5,D29_V_indoorWA_move_0001,27
D29_Apple_iPhone5,D29_V_flatWA_panrot_0001,27
D30_Huawei_Honor5c,D30_V_indoorWA_move_0002,28
D30_Huawei_Honor5c,D30_V_flatWA_panrot_0001,28
D30_Huawei_Honor5c,D30_V_outdoorWA_still_0002,28
D30_Huawei_Honor5c,D30_V_indoorWA_panrot_0002,28
D31_Samsung_GalaxyS4Mini,D31_V_flatWA_panrot_0001,29
D31_Samsung_GalaxyS4Mini,D31_V_indoorWA_move_0001,29
D31_Samsung_GalaxyS4Mini,D31_V_indoorWA_panrot_0001,29
D32_OnePlus_A3003,D32_V_flatWA_move_0001,30
D32_OnePlus_A3003,D32_V_indoorWA_move_0002,30
D32_OnePlus_A3003,D32_V_indoorWA_panrot_0001,30
D32_OnePlus_A3003,D32_V_outdoorWA_panrot_0002,30
D33_Huawei_Ascend,D33_V_flatWA_move_0001,31
D33_Huawei_Ascend,D33_V_outdoorWA_still_0001,31
D33_Huawei_Ascend,D33_V_flatWA_panrot_0001,31
D33_Huawei_Ascend,D33_V_outdoorWA_panrot_0001,31
D34_Apple_iPhone5,D34_V_indoorWA_move_0004,32
D34_Apple_iPhone5,D34_V_outdoorWA_move_0001,32
D34_Apple_iPhone5,D34_V_outdoorWA_panrot_0001,32
D34_Apple_iPhone5,D34_V_outdoorWA_move_0003,32
D34_Apple_iPhone5,D34_V_flatWA_move_0001,32
D34_Apple_iPhone5,D34_V_indoorWA_still_0002,32
D35_Samsung_GalaxyTabA,D35_V_indoorWA_panrot_0001,33
D35_Samsung_GalaxyTabA,D35_V_indoorWA_still_0002,33
D35_Samsung_GalaxyTabA,D35_V_outdoorWA_move_0002,33
D35_Samsung_GalaxyTabA,D35_V_flatWA_move_0001,33
